entity,iso3,file,domain,domain_raw,has_plan,plan,issuing_body,year,year_raw,posture,posture_label
Australia,AUS,11-Australia.md,Biomedical & biotechnology,Biotechnology,True,National Health and Medical Research Strategy 2026–2036,DoHAC / NHMRC,2026,2026,3,mature
Australia,AUS,11-Australia.md,Materials & critical minerals,Materials / Critical Minerals,True,Critical Minerals Strategy 2023–2030,DISR,2023,2023,3,mature
Australia,AUS,11-Australia.md,Semiconductors,Semiconductors,True,National Semiconductor Roadmap,S3B / DISR,2024,2024–26,1,nascent
Australia,AUS,11-Australia.md,Digital infrastructure,Digital Tech,True,Data and Digital Government Strategy,Digital Transformation Agency,2023,2023,2,active
Australia,AUS,11-Australia.md,Autonomous systems,Autonomous Systems,True,National Robotics Strategy (+ Aviation White Paper),DISR / Dept of Infrastructure,2024,2024,3,mature
New Zealand,NZL,46-New-Zealand.md,Nuclear energy,Nuclear Energy,True,"Nuclear Free Zone, Disarmament & Arms Control Act 1987 (legal ban)",Parliament / MFAT,1987,1987,-1,banned/phased-out
New Zealand,NZL,46-New-Zealand.md,Artificial intelligence,Artificial Intelligence,True,"National AI Strategy ""Investing with Confidence""",MBIE,2025,2025,2,active
New Zealand,NZL,46-New-Zealand.md,Quantum information science,Quantum,True,Quantum Technologies Aotearoa + NZIAT discovery phase,MBIE / NZIAT / Dodd-Walls Centre,2025,2023 / 2025,2,active
New Zealand,NZL,46-New-Zealand.md,Biomedical & biotechnology,Biotechnology,True,Gene Technology Bill 2024 (ends GMO moratorium),Parliament / EPA / MBIE,2024,2024/25,3,mature
New Zealand,NZL,46-New-Zealand.md,Materials & critical minerals,Materials / Critical Minerals,True,A Minerals Strategy for NZ to 2040 + Critical Minerals List,MBIE / NZ Petroleum & Minerals,2025,2025,2,active
New Zealand,NZL,46-New-Zealand.md,Semiconductors,Semiconductors,True,*Nascent / absent* (niche: Rakon photonics),private sector,,—,1,nascent
New Zealand,NZL,46-New-Zealand.md,Digital infrastructure,Digital Tech,True,Digital Strategy for Aotearoa + Space & Advanced Aviation Strategy,MBIE / DIA / NZ Space Agency,2024,2022 / 2024,3,mature
New Zealand,NZL,46-New-Zealand.md,Autonomous systems,Autonomous Systems,True,Civil Aviation Rules Part 101/102 + Transport Instruments,Civil Aviation Authority,2025,2025,3,mature
Germany,DEU,07-Germany.md,Nuclear energy,Nuclear Energy,True,Atomgesetz / phase-out (Atomausstieg),Bundesregierung / BMWK / BASE,2023,2011/2023,-1,banned/phased-out
Germany,DEU,07-Germany.md,Artificial intelligence,Artificial Intelligence,True,Hightech Agenda Deutschland (AI mission) + AI Action Plan (KI-Aktionsplan),BMFTR,2025,2025 / 2023,3,mature
Germany,DEU,07-Germany.md,Quantum information science,Quantum,True,Hightech Agenda Deutschland (quantum mission) + Action Plan Quantum Technologies,BMFTR (Federal Govt),2025,2025 / 2023,3,mature
Germany,DEU,07-Germany.md,Biomedical & biotechnology,Biotechnology,True,National Strategy for Gene- and Cell-Based Therapies (GCT) + Hightech Agenda (biotech mission),BMFTR / BIH,2025,2024 / 2025,3,mature
Germany,DEU,07-Germany.md,Materials & critical minerals,Materials Science,True,Mat2Twin framework programme (+ Raw Materials / RESourceEU alignment),BMFTR / BMWK,2025,2025,3,mature
Germany,DEU,07-Germany.md,Semiconductors,Semiconductors,True,Microelectronics Strategy (Mikroelektronik-Strategie) + Hightech Agenda (chip mission),BMWK & BMFTR,2025,2025,4,frontier
Germany,DEU,07-Germany.md,Digital infrastructure,Digital Tech,True,Föderale Modernisierungsagenda + Deutschland-Stack (Gigabit/Digital Strategy),BMDS,2025,2025,3,mature
Germany,DEU,07-Germany.md,Autonomous systems,Autonomous Systems,True,Autonomous Driving Act + Teleoperated Driving Regulation (StVFernLV) + Robotics Research Action Plan,BMV & BMFTR,2025,2021 / 2025 / 2023,4,frontier
France,FRA,08-France.md,Nuclear energy,Nuclear Energy,True,Programme Nouveau Nucléaire (EPR2 + SMR); PPE 3 (2026–2035),Presidency / Min. Energy / SGPI / DINN,2026,2021–22; PPE 3 (Feb 2026),4,frontier
France,FRA,08-France.md,Artificial intelligence,Artificial Intelligence,True,"Stratégie Nationale pour l'IA (SNIA), Phase 3 (post-Summit)",DGE / SGPI,2025,2018 / 2021 / 2025–26,3,mature
France,FRA,08-France.md,Quantum information science,Quantum,True,Stratégie Nationale Quantique + PROQCIMA,SGPI / DGE / CEA-CNRS-Inria,2024,2021 / 2024,3,mature
France,FRA,08-France.md,Biomedical & biotechnology,Biotechnology,True,Plan Innovation Santé 2030 (Biothérapies),Presidency / SGPI / Inserm-CEA,2021,2021–22,3,mature
France,FRA,08-France.md,Materials & critical minerals,Materials Science,True,PEPR DIADEM + PEPR Recyclage; Plan résilience Terres rares & aimants,CNRS / CEA / SGPI / Min. Économie,2026,2022 / 2023 / 2026,3,mature
France,FRA,08-France.md,Semiconductors,Semiconductors,True,Stratégie électronique / Nano 2030 → Semi-conducteurs 2035,DGE,2026,2022 / 2026,3,mature
France,FRA,08-France.md,Digital infrastructure,Digital Tech,True,Cloud Acceleration + Future Networks (5G/6G),DGE / DINUM / SGPI,2021,2021,3,mature
France,FRA,08-France.md,Autonomous systems,Autonomous Systems,True,Stratégie Robotique et machines intelligentes,SGPI / Min. Industry / CNRS,2021,2021,2,active
United Kingdom,GBR,09-United-Kingdom.md,Nuclear energy,Nuclear Energy,True,Civil Nuclear: Roadmap to 2050 (+ Rolls-Royce SMR selection),DESNZ / GBE-Nuclear,2025,2024 (2025),3,mature
United Kingdom,GBR,09-United-Kingdom.md,Artificial intelligence,Artificial Intelligence,True,AI Opportunities Action Plan (+ One Year On; Sovereign AI),DSIT,2026,2025 (2026),4,frontier
United Kingdom,GBR,09-United-Kingdom.md,Quantum information science,Quantum,True,National Quantum Strategy (+ Missions),DSIT,2023,2023,3,mature
United Kingdom,GBR,09-United-Kingdom.md,Biomedical & biotechnology,Biotechnology,True,Life Sciences Sector Plan (+ National Vision for Engineering Biology),DBT / DHSC / DSIT / OLS,2025,2025 (2023),4,frontier
United Kingdom,GBR,09-United-Kingdom.md,Materials & critical minerals,Materials / Critical Minerals,True,UK Critical Minerals Strategy: Vision 2035,DBT / DSIT,2025,2025,2,active
United Kingdom,GBR,09-United-Kingdom.md,Semiconductors,Semiconductors,True,National Semiconductor Strategy (+ £1.1B AI hardware/chip plan),DSIT,2026,2023 (2026),3,mature
United Kingdom,GBR,09-United-Kingdom.md,Digital infrastructure,Digital Tech,True,Digital and Technologies Sector Plan (+ Wireless Infrastructure Strategy),DBT / DSIT,2025,2025 (2023),3,mature
United Kingdom,GBR,09-United-Kingdom.md,Autonomous systems,Autonomous Systems,True,Transport AI Action Plan + Automated Vehicles Act (self-driving passenger services),DfT / DSIT,2025,2025 / 2024,3,mature
Netherlands,NLD,17-Netherlands.md,Nuclear energy,Nuclear Energy,True,Borssele extension + NEO NL new-build (Oct 2025 progress letter),Ministry of Climate & Green Growth (KGG),2024,2024–25,3,mature
Netherlands,NLD,17-Netherlands.md,Artificial intelligence,Artificial Intelligence,True,AiNed Programme + Actieagenda AI en Data / National AI Factory,EZ / NL AI Coalition,2025,2021; 2025,3,mature
Netherlands,NLD,17-Netherlands.md,Quantum information science,Quantum,True,Quantum Delta NL (National Growth Fund),EZK / Quantum Delta NL,2021,2021,3,mature
Netherlands,NLD,17-Netherlands.md,Biomedical & biotechnology,Biotechnology,True,Kabinetsvisie Biotechnologie 2025–2040 + Biotech Booster,EZ / National Growth Fund / Top Sector LSH,2025,2025; 2022,3,mature
Netherlands,NLD,17-Netherlands.md,Materials & critical minerals,Materials Science,True,Nat. Exploration Programme Critical Raw Materials + NTS 2024,EZ,2025,2024; 2025,2,active
Netherlands,NLD,17-Netherlands.md,Semiconductors,Semiconductors,True,Project Beethoven → Nieuw industriebeleid met focus (ChipNL),EZ / OCW / regional,2025,2024; 2025,4,frontier
Netherlands,NLD,17-Netherlands.md,Digital infrastructure,Digital Tech,True,Dutch Digitalisation Strategy 2.0,Ministry of the Interior (BZK),2019,2019+,3,mature
Netherlands,NLD,17-Netherlands.md,Autonomous systems,Autonomous Systems,True,Unmanned Aviation Action Plan 2023–2025 + Smart Mobility,Ministry of Infrastructure (IenW),2023,2023,2,active
Italy,ITA,18-Italy.md,Nuclear energy,Nuclear Energy,True,"PNNS Platform + Sustainable Nuclear delegation law (DDL ""Nucleare Sostenibile"", A.C. 2669)",MASE / ENEA / RSE; Parliament,2026,2023/24; 2026,2,active
Italy,ITA,18-Italy.md,Artificial intelligence,Artificial Intelligence,True,Italian Strategy for AI 2024–2026 + National AI Law (L. 132/2025),AgID / Dept. for Digital Transformation; Parliament,2025,2024; 2025,2,active
Italy,ITA,18-Italy.md,Quantum information science,Quantum,True,Italian Strategy for Quantum Technologies,"DTD / CITD (+ MUR, MIMIT, ACN, Defense)",2025,2025,3,mature
Italy,ITA,18-Italy.md,Biomedical & biotechnology,Biotechnology,True,PNRR RNA/Gene Therapy Center + Bioeconomy BIT II,MUR / Presidency of the Council,2022,2022/24,3,mature
Italy,ITA,18-Italy.md,Materials & critical minerals,Materials Science,True,Critical Raw Materials Decree + Technical Table,MIMIT / MASE,2023,2023/24,2,active
Italy,ITA,18-Italy.md,Semiconductors,Semiconductors,True,National Microelectronics Plan (Italian Chips Act),MIMIT / MUR,2023,2023,3,mature
Italy,ITA,18-Italy.md,Digital infrastructure,Digital Tech,True,Italia Digitale 2026,Dept. for Digital Transformation,2021,2021,3,mature
Italy,ITA,18-Italy.md,Autonomous systems,Autonomous Systems,True,PNRR Extended Partnerships: MICS + FAIR,MUR,2022,2022–26,2,active
Spain,ESP,19-Spain.md,Nuclear energy,Nuclear Energy,True,PNIEC 2021–2030 (phase-out actively unwinding),MITECO,2025,2024 plan; 2025–26 reversal moves,0,absent
Spain,ESP,19-Spain.md,Artificial intelligence,Artificial Intelligence,True,AI Strategy 2024 + draft AI Law (Anteproyecto de Ley de IA),Min. Digital Transformation / SEDIA / AESIA,2025,Strategy 2024; bill Mar 2025,4,frontier
Spain,ESP,19-Spain.md,Quantum information science,Quantum,True,Quantum Spain,SEDIA / Barcelona Supercomputing Center,2021,2021,3,mature
Spain,ESP,19-Spain.md,Biomedical & biotechnology,Biotechnology,True,Programa Estratégico Salud de Vanguardia 2025–2027 (succeeds PERTE Salud),MICIU / Ministry of Health,2026,2026,3,mature
Spain,ESP,19-Spain.md,Materials & critical minerals,Materials / Critical Minerals,True,I Plan de Acción para la Gestión Sostenible de las Materias Primas Minerales 2026–2030,MITECO,2026,2026,3,mature
Spain,ESP,19-Spain.md,Semiconductors,Semiconductors,True,PERTE Chip,Min. Digital Transformation / SETT,2025,2022; SETT co-investment 2025–26,3,mature
Spain,ESP,19-Spain.md,Digital infrastructure,Digital Tech,True,España Digital 2026 (cyber strategy revision underway),Min. Digital Transformation,2025,2022; 2025 revision,3,mature
Spain,ESP,19-Spain.md,Autonomous systems,Autonomous Systems,True,"PERTE VEC (rounds IV–V, electric/connected/autonomous)",Ministry of Industry and Tourism,2026,2021; VEC V 2026,2,active
Ireland,IRL,33-Ireland.md,Nuclear energy,Nuclear Energy,True,Electricity Regulation Act 1999 (legal ban),"Oireachtas / Dept of Environment, Climate & Comms",1999,1999,-1,banned/phased-out
Ireland,IRL,33-Ireland.md,Artificial intelligence,Artificial Intelligence,True,"National Digital and AI Strategy — ""Digital Ireland: Connecting our People, Securing our Future"" (supersedes ""AI – Here for Good"")","Dept of the Taoiseach (whole-of-gov) / Dept of Enterprise, Tourism and Employment",2026,2026,3,mature
Ireland,IRL,33-Ireland.md,Quantum information science,Quantum,True,Quantum 2030,Dept of Further & Higher Education (DFHERIS),2023,2023,3,mature
Ireland,IRL,33-Ireland.md,Biomedical & biotechnology,Biotechnology,True,Impact 2030 (via Taighde Éireann),DFHERIS / Research Ireland,2024,2022/2024,3,mature
Ireland,IRL,33-Ireland.md,Materials & critical minerals,Materials / Critical Minerals,True,EU CRMA implementation + CIRCLE project,Dept of Environment / EPA / GSI,2024,2024,2,active
Ireland,IRL,33-Ireland.md,Semiconductors,Semiconductors,True,Silicon Island (National Semiconductor Strategy),"Dept of Enterprise, Trade and Employment",2025,2025,3,mature
Ireland,IRL,33-Ireland.md,Digital infrastructure,Digital Tech,True,"National Digital and AI Strategy — ""Digital Ireland: Connecting our People, Securing our Future"" (replaces Harnessing Digital)",Department of the Taoiseach,2026,2026,3,mature
Ireland,IRL,33-Ireland.md,Autonomous systems,Autonomous Systems,True,National Policy Framework for UAS (drones),Department of Transport,2025,2025,2,active
Switzerland,CHE,24-Switzerland.md,Nuclear energy,Nuclear Energy,True,Nuclear Energy Act amendment (lift new-build ban),Federal Council / DETEC / SFOE,2026,Dispatch 2025; passed both chambers June 2026,2,active
Switzerland,CHE,24-Switzerland.md,Artificial intelligence,Artificial Intelligence,True,AI Guidelines + Council of Europe AI Convention,Federal Council / OFCOM / CNAI,2024,2020 / 2024–25,2,active
Switzerland,CHE,24-Switzerland.md,Quantum information science,Quantum,True,Swiss Quantum Initiative (SQI),SERI / Swiss Quantum Commission (SCNAT),2025,2022 / 2025–28,3,mature
Switzerland,CHE,24-Switzerland.md,Biomedical & biotechnology,Biotechnology,True,Swiss Personalized Health Network (SPHN),SERI / FOPH / SAMS / SIB,2025,2017 / 2025–28,4,frontier
Switzerland,CHE,24-Switzerland.md,Materials & critical minerals,Materials Science,True,ETH Board Strategic Plan 2025–28 + NCCR Muoniverse,ETH Board / SNSF,2026,2024 / 2026,2,active
Switzerland,CHE,24-Switzerland.md,Semiconductors,Semiconductors,True,SwissChips Initiative,SERI / ETHZ / EPFL / CSEM,2024,2024,3,mature
Switzerland,CHE,24-Switzerland.md,Digital infrastructure,Digital Tech,True,Digital Switzerland Strategy 2026,Federal Council / Federal Chancellery,2025,2025,3,mature
Switzerland,CHE,24-Switzerland.md,Autonomous systems,Autonomous Systems,True,Ordinance on Automated Driving + AVISTRAT-CH / SUSI,FEDRO (roads) / FOCA (airspace),2025,2025,3,mature
Sweden,SWE,20-Sweden.md,Nuclear energy,Nuclear Energy,True,Roadmap for New Nuclear Power + State Financing Model & Permitting Reform,Govt / Ministry of Climate & Enterprise,2026,2023 / 2026,4,frontier
Sweden,SWE,20-Sweden.md,Artificial intelligence,Artificial Intelligence,True,Sweden's AI Strategy (Sveriges AI-strategi),Govt (Ministry of Finance),2026,2026,3,mature
Sweden,SWE,20-Sweden.md,Quantum information science,Quantum,True,WACQT + forthcoming National Quantum Strategy,Wallenberg Foundation / Vetenskapsrådet,2025,2018 / 2025,3,mature
Sweden,SWE,20-Sweden.md,Biomedical & biotechnology,Biotechnology,True,National Strategy for Life Science (updated),Govt (cross-ministerial Life Science Office),2024,2024,3,mature
Sweden,SWE,20-Sweden.md,Materials & critical minerals,Materials / Minerals,True,Minerals Strategy + KRRR mapping + EU CRMA Strategic Projects (LKAB),Ministry of Enterprise / SGU / EU Commission,2026,2013 / 2026,3,mature
Sweden,SWE,20-Sweden.md,Semiconductors,Semiconductors,True,National Semiconductor Strategy 2035,"Semiconductor Sweden (Vinnova, RISE, FMV)",2024,2024,2,active
Sweden,SWE,20-Sweden.md,Digital infrastructure,Digital Tech,True,Digitalisation Strategy 2025–2030,Ministry of Finance,2025,2025,3,mature
Sweden,SWE,20-Sweden.md,Autonomous systems,Autonomous Systems,True,Drive Sweden (CCAM) Strategic Innovation Program,Drive Sweden / Vinnova,2015,2015+,3,mature
Finland,FIN,30-Finland.md,Nuclear energy,Nuclear Energy,True,Comprehensive Reform of the Nuclear Energy Act,Ministry of Economic Affairs & Employment (TEM) / STUK,2026,2026,4,frontier
Finland,FIN,30-Finland.md,Artificial intelligence,Artificial Intelligence,True,AI 4.0 Programme + AuroraAI,TEM / Ministry of Finance,2022,2022,3,mature
Finland,FIN,30-Finland.md,Quantum information science,Quantum,True,Finnish Quantum Technology Strategy 2025–2035,TEM / InstituteQ / VTT,2025,2025,3,mature
Finland,FIN,30-Finland.md,Biomedical & biotechnology,Biotechnology,True,Health Sector Growth Strategy + National Genome Strategy,STM / TEM / OKM,2023,2020/2023,3,mature
Finland,FIN,30-Finland.md,Materials & critical minerals,Materials / Minerals,True,National Battery Strategy 2025 + National Minerals Strategy,TEM,2024,2021/2024,3,mature
Finland,FIN,30-Finland.md,Semiconductors,Semiconductors,True,"""Chips from the North"" Semiconductor Strategy",Technology Industries of Finland + Business Finland/VTT,2024,2024,2,active
Finland,FIN,30-Finland.md,Digital infrastructure,Digital Tech,True,Finland's Digital Compass + National 6G Roadmap,LVM / Ministry of Finance / 6G Flagship,2025,2022/2025,4,frontier
Finland,FIN,30-Finland.md,Autonomous systems,Autonomous Systems,True,Finnish Drone Strategy,Defence and Aviation Industry Assoc. (PIA) / Business Finland,2025,2025,3,mature
Norway,NOR,32-Norway.md,Nuclear energy,Nuclear Energy,True,"Nuclear Power Commission report NOU 2026:4 ""Kjernekraft i Norge?"" + Aure/Heim SMR impact assessment",Ministry of Energy,2026,2024 / 2026,1,nascent
Norway,NOR,32-Norway.md,Artificial intelligence,Artificial Intelligence,True,"National AI Strategy + ""KI-milliarden"" (AI Billion) + ""KI Norge"" national AI hub",Ministry of Digitalisation / Research Council,2026,2020 / 2024–25 / 2026,3,mature
Norway,NOR,32-Norway.md,Quantum information science,Quantum,True,National Quantum Technology Strategy (in development) + 4 national quantum research centres (1.1bn NOK),Min. Education & Research / Defence; Research Council,2025,2025–26,2,active
Norway,NOR,32-Norway.md,Biomedical & biotechnology,Biotechnology,True,National Biotechnology Strategy + Centre for Digital Life Norway,Ministry of Education & Research / Research Council,2016,2011 / 2016–26,3,mature
Norway,NOR,32-Norway.md,Materials & critical minerals,Materials / Minerals,True,Norway's Mineral Strategy + Seabed Minerals Act (licensing round paused Dec 2025),Ministry of Trade & Fisheries / Ministry of Energy,2024,2023 / 2024–25,3,mature
Norway,NOR,32-Norway.md,Semiconductors,Semiconductors,True,EU Chips Act via CC-NorChip,Research Council / EU Chips JU,2024,2024,2,active
Norway,NOR,32-Norway.md,Digital infrastructure,Digital Tech,True,National Digitalisation Strategy 2024–2030,Ministry of Digitalisation and Public Governance,2024,2024,4,frontier
Norway,NOR,32-Norway.md,Autonomous systems,Autonomous Systems,True,Defence Drone Strategy + SFI AutoShip / Yara Birkeland,Ministry of Defence / Research Council,2025,2025,4,frontier
Poland,POL,31-Poland.md,Nuclear energy,Nuclear Energy,True,Polish Nuclear Power Programme (PPEJ),Council of Ministers / Ministry of Industry,2025,2014/2020; 2025 update (consultation),2,active
Poland,POL,31-Poland.md,Artificial intelligence,Artificial Intelligence,True,"Policy for AI Development in Poland from 2020 (+ AI Fund, PL-Guard)",Council of Ministers / Ministry of Digital Affairs,2025,2020; 2024/2025 instruments,3,mature
Poland,POL,31-Poland.md,Quantum information science,Quantum,True,"""Poland in the Quantum Era"" (policy assumptions)",Ministry of Digital Affairs,2025,2024/2025,2,active
Poland,POL,31-Poland.md,Biomedical & biotechnology,Biotechnology,True,Government Plan for Biomedical Sector Development 2022–2031,Council of Ministers / MoH / Medical Research Agency (ABM),2022,2022,2,active
Poland,POL,31-Poland.md,Materials & critical minerals,Materials / Minerals,True,State Raw Materials Policy (PSP2050),Council of Ministers / Ministry of Climate / PIG,2022,2022,2,active
Poland,POL,31-Poland.md,Semiconductors,Semiconductors,True,"""Poland in the Game for the Future"" — Semiconductor Policy 2026+",Ministry of Digital Affairs,2026,"2026 (consultation, pre-adoption)",1,nascent
Poland,POL,31-Poland.md,Digital infrastructure,Digital Tech,True,National Broadband Plan (NPS),Council of Ministers / Ministry of Digital Affairs,2030,2014/2020; 2026–2030 update (consultation),2,active
Poland,POL,31-Poland.md,Autonomous systems,Autonomous Systems,True,White Paper on the UAV Market (U-space) + ULC Guidelines No. 7/2025,Ministry of Infrastructure / Civil Aviation Authority (ULC) / PIE,2025,2019; 2025,3,mature
Ukraine,UKR,43-Ukraine.md,Nuclear energy,Nuclear Energy,True,Energy Strategy of Ukraine until 2050 (+ Energoatom–Westinghouse AP1000s; Khmelnytskyi design complete),Ministry of Energy / Energoatom,2026,2023/2026,3,mature
Ukraine,UKR,43-Ukraine.md,Artificial intelligence,Artificial Intelligence,True,AI Regulation Roadmap + White Paper + Concept Action Plan 2025–2026 (bottom-up),Ministry of Digital Transformation,2025,2023/2024/2025,3,mature
Ukraine,UKR,43-Ukraine.md,Quantum information science,Quantum,True,WINWIN 2030 (broad) + NATO SPS quantum projects,MDT / Min. Education & Science / NATO SPS,2024,2024,1,nascent
Ukraine,UKR,43-Ukraine.md,Biomedical & biotechnology,Biotechnology,True,WINWIN MedTech & BioTech Sectoral Strategies,Ministry of Digital Transformation,2024,2024/25,2,active
Ukraine,UKR,43-Ukraine.md,Materials & critical minerals,Materials / Critical Minerals,True,Strategy for Critical Raw Materials Industries to 2056 + Resolution No. 845 strategic-minerals lists + US–Ukraine Reconstruction Investment Fund,Cabinet of Ministers / Min. Economy / Min. Environment,2026,2025/2026,3,mature
Ukraine,UKR,43-Ukraine.md,Semiconductors,Semiconductors,True,Microelectronics Development Strategy + Chip Act UA (MDT mandate expanded),MDT / Cabinet of Ministers,2025,2023/2024/2025,2,active
Ukraine,UKR,43-Ukraine.md,Digital infrastructure,Digital Tech,True,"Diia ecosystem + Diia City + WINWIN 2030 + Diia.AI (""Agentic State"")",Ministry of Digital Transformation,2025,2020/2025,4,frontier
Ukraine,UKR,43-Ukraine.md,Autonomous systems,Autonomous Systems,True,"WINWIN DefenseTech + Brave1 + ""Drone Line"" program",MDT / Min. Defense / Brave1,2025,2023/2024/2025,4,frontier
European Union,EUU,21-European-Union.md,Nuclear energy,Nuclear Energy,True,EU Strategy for SMRs & AMRs (COM/2026/117) + SMR Alliance Strategic Action Plan,European Commission,2026,2026,3,mature
European Union,EUU,21-European-Union.md,Artificial intelligence,Artificial Intelligence,True,AI Continent Action Plan + Apply AI Strategy (atop AI Act 2024),European Commission,2025,2025,4,frontier
European Union,EUU,21-European-Union.md,Quantum information science,Quantum,True,Quantum Europe Strategy,European Commission,2025,2025,4,frontier
European Union,EUU,21-European-Union.md,Biomedical & biotechnology,Biotechnology,True,European Biotech Act (proposal) + Life Sciences Strategy,European Commission,2025,2025/26,3,mature
European Union,EUU,21-European-Union.md,Materials & critical minerals,Materials,True,CRMA first Strategic Projects lists + Advanced Materials Act (in preparation),European Commission,2025,2025,3,mature
European Union,EUU,21-European-Union.md,Semiconductors,Semiconductors,True,Chips Act 2.0 (proposal),European Commission,2026,2026,3,mature
European Union,EUU,21-European-Union.md,Digital infrastructure,Digital Tech,True,Digital Networks Act (proposal),European Commission,2026,2026,4,frontier
European Union,EUU,21-European-Union.md,Autonomous systems,Autonomous Systems,True,EU Action Plan on Drone & Counter-Drone Security,European Commission,2026,2026,3,mature
Israel,ISR,23-Israel.md,Nuclear energy,Nuclear Energy,False,Nuclear ambiguity (no civil power plan),PMO / Israel Atomic Energy Commission,1952,1952+,0,absent
Israel,ISR,23-Israel.md,Artificial intelligence,Artificial Intelligence,True,National Artificial Intelligence Program (Phase II acceleration),National AI Directorate (PMO) / TELEM / IIA / MOST,2026,2021 / 2024 / 2026,4,frontier
Israel,ISR,23-Israel.md,Quantum information science,Quantum,True,National Quantum Initiative + Quantum Computing Center,"TELEM (MAFAT, IIA, PBC, Finance)",2022,2019 / 2022,3,mature
Israel,ISR,23-Israel.md,Biomedical & biotechnology,Biotechnology,True,National Bio-Convergence Program,TELEM / IIA / MOST / Health,2021,2021/22,4,frontier
Israel,ISR,23-Israel.md,Materials & critical minerals,Materials Science,True,Advanced Manufacturing Plan + Metamaterials consortium,Ministry of Economy / IIA,2023,2018 / 2023–25,2,active
Israel,ISR,23-Israel.md,Semiconductors,Semiconductors,True,Law for the Encouragement of Capital Investments + IIA consortiums + Integrated Photonics pilot-line initiative,Ministry of Economy / IIA / DDR&D / Finance,2026,1959 (reforms ongoing); Photonics 2026,4,frontier
Israel,ISR,23-Israel.md,Digital infrastructure,Digital Tech,True,National Digital Israel Program,Digital Israel Bureau / ICT Authority,2017,2013 / 2017,3,mature
Israel,ISR,23-Israel.md,Autonomous systems,Autonomous Systems,True,Israel National Drone Initiative (INDI; Phase 3 / INDI3),IIA / Ministry of Transport / CAAI,2026,2019 / 2023–26 (INDI3 2026),3,mature
United Arab Emirates,ARE,25-UAE.md,Nuclear energy,Nuclear Energy,True,UAE Peaceful Nuclear Energy Policy (Barakah) + ENEC ADVANCE Programme (SMRs/advanced reactors),Federal Govt / ENEC / FANR,2025,2008; ADVANCE 2025–26,3,mature
United Arab Emirates,ARE,25-UAE.md,Artificial intelligence,Artificial Intelligence,True,National Strategy for AI 2031 + US–UAE AI Acceleration Partnership / Regulatory Intelligence Office,Ministry of State for AI / AIATC / Cabinet,2025,2017 / 2025,4,frontier
United Arab Emirates,ARE,25-UAE.md,Quantum information science,Quantum,True,National Encryption Policy + National Post-Quantum Migration Programme,Cybersecurity Council / ATRC (QuantumGate) / TII,2024,2024–26,3,mature
United Arab Emirates,ARE,25-UAE.md,Biomedical & biotechnology,Biotechnology,True,National Genome Strategy / Emirati Genome Program,Emirates Genome Council / DoH,2023,2023,3,mature
United Arab Emirates,ARE,25-UAE.md,Materials & critical minerals,Materials Science,True,Operation 300bn (National Industry & Advanced Tech) + US–UAE Critical Minerals & Rare Earths Framework,MoIAT / Ministry of Investment,2026,2021 / 2026,2,active
United Arab Emirates,ARE,25-UAE.md,Semiconductors,Semiconductors,True,MGX Investment Strategy (within AIATC) + Tawazun chiplet ecosystem,AIATC / MGX / MoIAT / Tawazun,2026,2024 / 2026,3,mature
United Arab Emirates,ARE,25-UAE.md,Digital infrastructure,Digital Tech,True,We the UAE 2031 (Digital Economy Strategy) + UAE–US 5GW AI Campus / Stargate UAE,UAE Cabinet / G42 / AIATC,2025,2022 / 2025,4,frontier
United Arab Emirates,ARE,25-UAE.md,Autonomous systems,Autonomous Systems,True,Dubai Smart Self-Driving Transport Strategy (multi-vendor robotaxi; Law 9/2023),Dubai RTA / DFF,2026,2016 / 2023 / 2026,3,mature
Saudi Arabia,SAU,26-Saudi-Arabia.md,Nuclear energy,Nuclear Energy,True,SNAEP + US–Saudi Civil Nuclear (123) Joint Declaration,K.A.CARE / Min. of Energy / US,2025,2017 / 2025,2,active
Saudi Arabia,SAU,26-Saudi-Arabia.md,Artificial intelligence,Artificial Intelligence,True,"NSDAI + Project Transcendence/HUMAIN + AI Adoption Framework; ""Year of AI""",SDAIA / PIF,2025,2020 / 2024 / 2025–26,4,frontier
Saudi Arabia,SAU,26-Saudi-Arabia.md,Quantum information science,Quantum,True,WEF Quantum Economy Blueprint pilot + National Quantum Alliance,C4IR / WEF / RDIA / Aramco,2026,2025 / 2026,2,active
Saudi Arabia,SAU,26-Saudi-Arabia.md,Biomedical & biotechnology,Biotechnology,True,National Biotechnology Strategy,Crown Prince / MoH / SFDA,2024,2024,3,mature
Saudi Arabia,SAU,26-Saudi-Arabia.md,Materials & critical minerals,Materials / Mining,True,National Industrial Strategy + National Minerals Program + US–Saudi Critical Minerals Framework,MoIMR / Ma'aden / PIF (Manara),2025,2022 / 2025–26,3,mature
Saudi Arabia,SAU,26-Saudi-Arabia.md,Semiconductors,Semiconductors,True,"National Semiconductor Hub (Alat exits chip fabrication, Apr 2026)",RDIA / KACST / PIF (Alat),2026,2024 / 2026,2,active
Saudi Arabia,SAU,26-Saudi-Arabia.md,Digital infrastructure,Digital Tech,True,Digital Economy Policy + Digital Government Strategy (Hexagon data center),MCIT / DGA / SDAIA,2026,2020 / 2023 / 2026,4,frontier
Saudi Arabia,SAU,26-Saudi-Arabia.md,Autonomous systems,Autonomous Systems,True,GACA Advanced Air Mobility Roadmap (+ NEOM testbeds),GACA / NEOM / MoT,2024,2024,2,active
